,ros_time,wheel_meas_index,cmd_left_vel,meas_left_vel,cmd_right_vel,meas_right_vel,warthog_odom_lin_vel,warthog_odom_ang_vel
170,1603824047652160882,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
171,1603824047702258110,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
172,1603824047752115011,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
173,1603824047802158117,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
174,1603824047852124929,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
175,1603824047902132987,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
176,1603824047952179908,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
177,1603824048002191066,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
178,1603824048052186012,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
179,1603824048102253913,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
180,1603824048152206897,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
181,1603824048202148914,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
182,1603824048252137899,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
183,1603824048302189111,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
184,1603824048352168083,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
185,1603824048402193069,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
186,1603824048452162027,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
187,1603824048502201080,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
188,1603824048552156925,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
189,1603824048602169036,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
190,1603824048652122974,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
191,1603824048702173948,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
192,1603824048752160072,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
193,1603824048802177906,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
194,1603824048852158069,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
195,1603824048902256965,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
196,1603824048952131032,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
