,ros_time,wheel_meas_index,cmd_left_vel,meas_left_vel,cmd_right_vel,meas_right_vel,left_js_vel,right_js_vel,icp_odom_x,icp_odom_y,icp_odom_z,icp_odom_w
8627,1602248696275534357,304,3.1373333333333324,1.3831734322055063,-1.4706666666666657,0.5934119456780721,1.3831734322055063,0.5934119456780721,0.33141398429870605,-2.0493345260620117,-0.05429600701242993,0.9983635715342987
8628,1602248696285626905,304,3.1373333333333324,1.3831734322055063,-1.4706666666666657,0.5934119456780721,1.3831734322055063,0.5934119456780721,0.33141398429870605,-2.0493345260620117,-0.05429600701242993,0.9983635715342987
8629,1602248696295688805,304,3.1733333333333325,1.3831734322055063,-1.506666666666666,0.5934119456780721,1.3831734322055063,0.17889624832941878,0.35088640451431274,-2.047311305999756,-0.05638120074290228,0.998229941283843
8630,1602248696305750049,304,3.1733333333333325,1.3831734322055063,-1.506666666666666,0.5934119456780721,1.3831734322055063,0.17889624832941878,0.35088640451431274,-2.047311305999756,-0.05638120074290228,0.998229941283843
8631,1602248696315807783,304,3.1733333333333325,1.3831734322055063,-1.506666666666666,0.5934119456780721,1.3831734322055063,0.17889624832941878,0.35088640451431274,-2.047311305999756,-0.05638120074290228,0.998229941283843
8632,1602248696325838154,304,3.1733333333333325,1.3831734322055063,-1.506666666666666,0.5934119456780721,1.3831734322055063,0.17889624832941878,0.35088640451431274,-2.047311305999756,-0.05638120074290228,0.998229941283843
8633,1602248696336559570,304,3.209333333333335,1.3831734322055063,-1.5426666666666686,0.5934119456780721,1.3831734322055063,0.17889624832941878,0.35088640451431274,-2.047311305999756,-0.05638120074290228,0.998229941283843
8634,1602248696348432315,304,3.209333333333335,1.3831734322055063,-1.5426666666666686,0.5934119456780721,1.3831734322055063,0.17889624832941878,0.35088640451431274,-2.047311305999756,-0.05638120074290228,0.998229941283843
8635,1602248696358498882,304,3.209333333333335,1.3831734322055063,-1.5426666666666686,0.5934119456780721,1.3831734322055063,0.17889624832941878,0.35088640451431274,-2.047311305999756,-0.05638120074290228,0.998229941283843
8636,1602248696368550767,304,3.209333333333335,1.3831734322055063,-1.5426666666666686,0.5934119456780721,1.3831734322055063,0.17889624832941878,0.35088640451431274,-2.047311305999756,-0.05638120074290228,0.998229941283843
8637,1602248696378622081,304,3.209333333333335,1.3831734322055063,-1.5426666666666686,0.5934119456780721,1.3831734322055063,0.17889624832941878,0.3663344979286194,-2.0487749576568604,-0.06237432247770574,0.9978714880276417
8638,1602248696388683266,304,3.2453333333333334,1.3831734322055063,-1.5786666666666669,0.5934119456780721,1.3831734322055063,0.17889624832941878,0.3663344979286194,-2.0487749576568604,-0.06237432247770574,0.9978714880276417
8639,1602248696393715693,304,3.2453333333333334,1.3831734322055063,-1.5786666666666669,0.5934119456780721,1.3831734322055063,0.17889624832941878,0.3663344979286194,-2.0487749576568604,-0.06237432247770574,0.9978714880276417
8640,1602248696403786967,304,3.2453333333333334,1.3831734322055063,-1.5786666666666669,0.5934119456780721,1.3831734322055063,0.17889624832941878,0.3663344979286194,-2.0487749576568604,-0.06237432247770574,0.9978714880276417
8641,1602248696413850749,304,3.2453333333333334,1.3831734322055063,-1.5786666666666669,0.5934119456780721,1.3831734322055063,0.17889624832941878,0.3663344979286194,-2.0487749576568604,-0.06237432247770574,0.9978714880276417
8642,1602248696423916071,304,3.2453333333333334,1.3831734322055063,-1.5786666666666669,0.5934119456780721,1.3831734322055063,0.17889624832941878,0.3663344979286194,-2.0487749576568604,-0.06237432247770574,0.9978714880276417
8643,1602248696436243591,305,3.2453333333333334,1.93295214658372,-1.5786666666666669,0.17889624832941878,1.3831734322055063,0.17889624832941878,0.3663344979286194,-2.0487749576568604,-0.06237432247770574,0.9978714880276417
8644,1602248696446288087,305,3.2813333333333334,1.93295214658372,-1.6146666666666665,0.17889624832941878,1.3831734322055063,0.17889624832941878,0.3663344979286194,-2.0487749576568604,-0.06237432247770574,0.9978714880276417
8645,1602248696456337695,305,3.2813333333333334,1.93295214658372,-1.6146666666666665,0.17889624832941878,1.3831734322055063,0.17889624832941878,0.3663344979286194,-2.0487749576568604,-0.06237432247770574,0.9978714880276417
